,country
44,Afghanistan
98,Albania
56,Algeria
142,Andorra
150,Angola
173,Antigua and Barbuda
19,Argentina
48,Armenia
71,Australia
59,Austria
52,Azerbaijan
167,Bahamas
46,Bahrain
17,Bangladesh
169,Barbados
28,Belarus
30,Belgium
175,Belize
126,Benin
171,Bhutan
36,Bolivia
82,Bosnia and Herzegovina
154,Botswana
1,Brazil
165,Brunei
81,Bulgaria
136,Burkina Faso
157,Burma
160,Burundi
119,Cabo Verde
164,Cambodia
62,Cameroon
20,Canada
94,Central African Republic
141,Chad
5,Chile
23,China
18,Colombia
158,Comoros
110,Congo (Brazzaville)
79,Congo (Kinshasa)
75,Costa Rica
66,Cote d'Ivoire
96,Croatia
108,Cuba
138,Cyprus
65,Czechia
67,Denmark
147,Diamond Princess
93,Djibouti
182,Dominica
40,Dominican Republic
27,Ecuador
24,Egypt
70,El Salvador
103,Equatorial Guinea
163,Eritrea
112,Estonia
124,Eswatini
80,Ethiopia
177,Fiji
84,Finland
15,France
88,Gabon
174,Gambia
140,Georgia
16,Germany
54,Ghana
97,Greece
179,Grenada
50,Guatemala
87,Guinea
118,Guinea-Bissau
159,Guyana
85,Haiti
184,Holy See
51,Honduras
95,Hungary
114,Iceland
2,India
25,Indonesia
9,Iran
22,Iraq
53,Ireland
42,Israel
12,Italy
144,Jamaica
55,Japan
130,Jordan
29,Kazakhstan
69,Kenya
64,"Korea, South"
91,Kosovo
33,Kuwait
68,Kyrgyzstan
181,Laos
131,Latvia
107,Lebanon
162,Lesotho
134,Liberia
121,Libya
172,Liechtenstein
115,Lithuania
92,Luxembourg
187,MS Zaandam
89,Madagascar
106,Malawi
76,Malaysia
104,Maldives
109,Mali
149,Malta
90,Mauritania
156,Mauritius
6,Mexico
57,Moldova
168,Monaco
161,Mongolia
129,Montenegro
61,Morocco
127,Mozambique
137,Namibia
60,Nepal
37,Netherlands
122,New Zealand
101,Nicaragua
132,Niger
47,Nigeria
77,North Macedonia
74,Norway
31,Oman
10,Pakistan
38,Panama
185,Papua New Guinea
100,Paraguay
4,Peru
32,Philippines
43,Poland
39,Portugal
21,Qatar
45,Romania
3,Russia
125,Rwanda
183,Saint Kitts and Nevis
180,Saint Lucia
176,Saint Vincent and the Grenadines
148,San Marino
146,Sao Tome and Principe
13,Saudi Arabia
78,Senegal
58,Serbia
170,Seychelles
120,Sierra Leone
41,Singapore
113,Slovakia
116,Slovenia
102,Somalia
7,South Africa
111,South Sudan
11,Spain
105,Sri Lanka
72,Sudan
143,Suriname
26,Sweden
49,Switzerland
152,Syria
153,Taiwan*
86,Tajikistan
151,Tanzania
99,Thailand
178,Timor-Leste
145,Togo
166,Trinidad and Tobago
128,Tunisia
14,Turkey
0,US
135,Uganda
34,Ukraine
35,United Arab Emirates
8,United Kingdom
139,Uruguay
63,Uzbekistan
73,Venezuela
155,Vietnam
83,West Bank and Gaza
186,Western Sahara
123,Yemen
117,Zambia
133,Zimbabwe
